PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
IPTV Related Issues,One or more tv channels are un..,Auto close by sub tt:10293701,Not available,One or more tv channels are unavailable,Field Support,Not available,IPTV Related Issues One or more tv channels are un.. One or more tv channels are unavailable Field Support Auto close by sub tt:10293701 Not available,iptv related issue one tv channel un.. one tv channel unavailable field support auto close sub tt:10293701 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10261288,Not available,Account extend request,Field Support,-3 days//suggested client to do payment,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10261288 -3 days//suggested client to do payment,account related issue account extend request.. account extend request field support auto close sub tt:10261288 -3 days//suggested client payment
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10345291,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10345291 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10345291 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10268719,Not available,Query about Packages,Field Support,Done,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10268719 Done,account related issue query packages.. query package field support auto close sub tt:10268719 done
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10439868,Not available,Low power level recorded [< -26 dbm],Field Support,range fine//packet loss//no interference//session refreshed//now fine//router reset,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10439868 range fine//packet loss//no interference//session refreshed//now fine//router reset,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10439868 range fine//packet loss//no interference//session refreshed//now fine//router reset
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10240637,Not available,Everything seems slow at client end devices.,Field Support,Not available,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10240637 Not available,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10240637 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10372051,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10372051 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10372051 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10294719,Not available,Query about Wi-fi SSID/password,Field Support,as per client 5G not showing // informed client accordingly about bandwith stering,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10294719 as per client 5G not showing // informed client accordingly about bandwith stering,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10294719 per client 5g showing // informed client accordingly bandwith stering
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10375998,Not available,Speed test fine. Slow experience on certain sites,Field Support,needed troubleshoot done,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10375998 needed troubleshoot done,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10375998 needed troubleshoot done
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10347416,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10347416 Not available,account related issue query packages.. query package field support auto close sub tt:10347416 available
General Inquiry,Technical Query..,Auto close by sub tt:10347801,Not available,Technical Query,Field Support,idle connection issue//works after call,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10347801 idle connection issue//works after call,general inquiry technical query.. technical query field support auto close sub tt:10347801 idle connection issue//works call
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10254642,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10254642 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10254642 available
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10334958,Not available,Upgrade/Change Subscribed Package,Field Support,Not available,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10334958 Not available,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10334958 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10348636,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10348636 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10348636 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10371934,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10371934 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10371934 available
